id,brand,brand_id,model,vehicle_type,variant,release_year,usable_battery_size,energy_consumption,ac_charger,dc_charger,charging_voltage,battery_size,range,consumption,_model_hash,url,status,error,updated_at,isFixingEmptyName,_manually_fixed_fields,nominal_battery_size,battery_type,type,_rescued_data
a7805129-057a-45a1-b9a5-3cef58aceb3d,Abarth,3fcb4e15-c510-4453-a0cd-6a8d1a980e8d,500E,car,hatchback,2024,42,{'average_consumption': 22.2},"{'ports': ['type2'], 'usable_phases': 3, 'max_power': 11}","{'ports': ['ccs'], 'max_power': 85, 'charging_curve': [{'percentage': 0, 'power': 80.75}, {'percentage': 50, 'power': 85}, {'percentage': 80, 'power': 42.5}, {'percentage': 100, 'power': 17}], 'is_default_charging_curve': True}",400,,,,,,,,,,,,,,
4c8056b2-f149-49c8-aa9e-0c41dbdc8fcd,Abarth,3fcb4e15-c510-4453-a0cd-6a8d1a980e8d,600e Scorpionissima,car,,2024,51,{'average_consumption': 18.1},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 100, 'charging_curve': [{'percentage': 0, 'power': 100}, {'percentage': 50, 'power': 100}, {'percentage': 80, 'power': 60}, {'percentage': 100, 'power': 30}], 'is_default_charging_curve': False}",400,50.8,280,18.1,,,,,,,,,,,
2273eb5b-1f60-408b-9225-962e0ee51520,Abarth,3fcb4e15-c510-4453-a0cd-6a8d1a980e8d,500e Convertible,car,,2023,38,{'average_consumption': 16.8},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 85, 'charging_curve': [{'percentage': 0, 'power': 85}, {'percentage': 50, 'power': 85}, {'percentage': 80, 'power': 51}, {'percentage': 100, 'power': 25.5}], 'is_default_charging_curve': False}",400,37.8,225,16.8,,,,,,,,,,,
5ae0a3e1-bc84-4a36-99c8-8fc5480882da,Abarth,3fcb4e15-c510-4453-a0cd-6a8d1a980e8d,500e Scorpionissima,car,,2023,38,{'average_consumption': 16.8},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 85, 'charging_curve': [{'percentage': 0, 'power': 85}, {'percentage': 50, 'power': 85}, {'percentage': 80, 'power': 51}, {'percentage': 100, 'power': 25.5}], 'is_default_charging_curve': False}",400,37.8,225,16.8,,,,,,,,,,,
4af9142c-1a9a-4dc1-92a1-999277a44f6d,Abarth,3fcb4e15-c510-4453-a0cd-6a8d1a980e8d,600e Turismo,car,,2024,51,{'average_consumption': 18.1},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 100, 'charging_curve': [{'percentage': 0, 'power': 100}, {'percentage': 50, 'power': 100}, {'percentage': 80, 'power': 60}, {'percentage': 100, 'power': 30}], 'is_default_charging_curve': False}",400,50.8,280,18.1,,,,,,,,,,,
c596c2eb-b868-49b5-b1e4-c83cac46ad84,Abarth,3fcb4e15-c510-4453-a0cd-6a8d1a980e8d,scorpionissima,car,,2023,38,{'average_consumption': 16.8},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 37.8, 'charging_curve': [{'percentage': 0, 'power': 37.8}, {'percentage': 50, 'power': 37.8}, {'percentage': 80, 'power': 22.68}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': False}",400,,,,5bk8c6,,,,,,,,,,
e270a688-4e2a-4017-a856-82cdfba1816f,Abarth,3fcb4e15-c510-4453-a0cd-6a8d1a980e8d,hatchback,car,,2023,38,{'average_consumption': 16.8},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 37.8, 'charging_curve': [{'percentage': 0, 'power': 37.8}, {'percentage': 50, 'power': 37.8}, {'percentage': 80, 'power': 22.68}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': False}",400,,,,-83fjdy,,,,,,,,,,
2bc3791c-f0bd-4a0d-82bc-80ab11e57657,Abarth,3fcb4e15-c510-4453-a0cd-6a8d1a980e8d,convertible,car,,2023,38,{'average_consumption': 16.8},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 37.8, 'charging_curve': [{'percentage': 0, 'power': 37.8}, {'percentage': 50, 'power': 37.8}, {'percentage': 80, 'power': 22.68}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': False}",400,,,,yn6u7w,,,,,,,,,,
6033b26c-1b3c-441b-9f78-7b7cd5512051,Aiways,a43d2607-eead-46c2-9fd5-2ebd3c49d895,U5.,car,,2022,60,{'average_consumption': 19},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 60, 'charging_curve': [{'percentage': 0, 'power': 60}, {'percentage': 50, 'power': 60}, {'percentage': 80, 'power': 36}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': False}",400,,,,,https://ev-database.org/car/1678/Aiways-U5,pending,empty model name,1.74E+12,1,['energy_consumption'],,,,
6b7e4753-42d2-4bf3-93fe-28e8f10e6fd8,Aiways,a43d2607-eead-46c2-9fd5-2ebd3c49d895,U6.,car,,2022,60,{'average_consumption': 17.1},"{'usable_phases': 3, 'ports': ['type2'], 'max_power': 11}","{'ports': ['ccs'], 'max_power': 60, 'charging_curve': [{'percentage': 0, 'power': 60}, {'percentage': 50, 'power': 60}, {'percentage': 80, 'power': 36}, {'percentage': 100, 'power': 11}], 'is_default_charging_curve': False}",400,60,350,17.1,,https://ev-database.org/car/1766/Aiways-U6,pending,empty model name,1.74E+12,1,"['charging_curve', 'energy_consumption']",,,,
